,Unnamed: 0,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable,difference,should_be_0
384,384,-2.0,0.8413444594169709,2.866515719235352e-07,3.0,0.0,0.05,0.1,0.85,0.9,0.2,0.6051306757500013,0.3087066139426529,0.0861627103073458,1.0,1.0,1.8413447460685424,500000,False,0.0,0.2964240618073484,0.5458188888172582
396,396,-2.0,0.8413444594169709,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.5,0.3,0.5853688360083013,0.3284684536843529,0.0861627103073458,1.0,1.0,1.8413447460685428,500000,False,0.0,0.25690038232394835,0.47304216925520226
402,402,-2.0,0.8413444594169709,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.85,0.9,0.4810030063502779,0.4328342833423762,0.08616271030734579,1.0,1.0,1.8413447460685437,500000,False,0.0,0.04816872300790165,0.08869522503543048
414,414,-2.0,0.8413444594169709,2.866515719235352e-07,3.0,0.0,0.48,0.4,0.12,0.9,0.2,0.7218472226694541,0.19199006702320004,0.0861627103073458,1.0,1.0,1.8413447460685428,500000,False,0.0,0.5298571556462541,0.975649689716052
474,474,-2.0,0.9331927797415794,1.898956247803341e-08,3.5,0.0,0.05,0.1,0.85,0.9,0.2,0.6665035434113221,0.2989384956275636,0.0345579609611143,1.0,1.0,1.9331927987311412,500000,False,0.0,0.36756504778375854,0.7105741034408299
475,475,-0.5,0.9986184307265368,3.1671241833119985e-05,3.5,0.0,0.05,0.1,0.85,0.9,0.2,0.4996623225115406,0.4996622726087856,0.0006754048796738644,1.0,1.0,1.9986501019683696,500000,True,0.0,4.990275498384378e-08,9.973814640851231e-08
486,486,-2.0,0.9331927797415794,1.898956247803341e-08,3.5,0.0,0.48,0.4,0.12,0.5,0.3,0.6419991894418217,0.3234428495970641,0.0345579609611143,1.0,1.0,1.9331927987311417,500000,False,0.0,0.31855633984475756,0.6158308221780358
487,487,-0.5,0.9986184307265368,3.1671241833119985e-05,3.5,0.0,0.48,0.4,0.12,0.5,0.3,0.4996623191809178,0.4996622759394084,0.0006754048796738644,1.0,1.0,1.9986501019683696,500000,True,0.0,4.324150942869309e-08,8.642464721653198e-08
492,492,-2.0,0.9331927797415794,1.898956247803341e-08,3.5,0.0,0.48,0.4,0.12,0.85,0.9,0.5125856727256453,0.4528563663132404,0.034557960961114284,1.0,1.0,1.933192798731142,500000,False,0.0,0.05972930641240487,0.11546826502966678
493,493,-0.5,0.9986184307265368,3.1671241833119985e-05,3.5,0.0,0.48,0.4,0.12,0.85,0.9,0.4996623016127706,0.4996622935075555,0.0006754048796738644,1.0,1.0,1.9986501019683696,500000,True,0.0,8.105215110187913e-09,1.6199488861445843e-08
504,504,-2.0,0.9331927797415794,1.898956247803341e-08,3.5,0.0,0.48,0.4,0.12,0.9,0.2,0.8112322493211342,0.15420978971775148,0.0345579609611143,1.0,1.0,1.9331927987311417,500000,False,0.0,0.6570224596033828,1.2701510875098823
505,505,-0.5,0.9986184307265368,3.1671241833119985e-05,3.5,0.0,0.48,0.4,0.12,0.9,0.2,0.499662342154553,0.4996622529657732,0.0006754048796738644,1.0,1.0,1.9986501019683696,500000,True,0.0,8.918877980601536e-08,1.782571639186159e-07
